code,name,Strategy_Type,Close,TurnoverRate,RSI6,KDJ_J,Breakout_Pattern,Limit_Up_Today,Final_Score,Strategy_Rank
600318,新力金融,A_Strong_Pullback (中风险接力),9.07,5.5,64.10070260096398,46.64677026517103,False,False,3.940928841137295,1
603535,嘉诚国际,B_Low_Position_Start (低风险埋伏),11.59,4.89,75.50863702658361,83.04831416833072,True,True,369.23723505999385,2
600889,南京化纤,B_Low_Position_Start (低风险埋伏),15.75,4.41,76.02658824229503,70.43375220458552,True,False,335.27725414852114,2
002735,王子新材,E_Leader_Restart (二次启动),17.79,43.14,73.77836143014116,91.8696413285704,False,False,5410.757470563693,3
001379,腾达科技,E_Leader_Restart (二次启动),24.8,36.73,67.17938971869773,86.61187925514669,False,False,4194.748273425205,3
002491,通鼎互联,E_Leader_Restart (二次启动),6.95,30.27,76.9842624693785,81.98038618994846,False,False,3961.533162411748,3
002766,索菱股份,E_Leader_Restart (二次启动),6.02,19.55,79.9205059327263,91.03181154930701,True,False,2656.1580146741585,3
600468,百利电气,E_Leader_Restart (二次启动),7.22,16.02,74.65525871588628,85.51930591832186,True,False,2033.1613158684465,3
