Code,Name,Latest_Close,Latest_Turnover
600179,安通控股,5.52,7.54
603221,爱丽家居,13.1,8.95
603166,福达股份,15.7,2.48
600029,南方航空,8.01,0.74
600226,亨通股份,5.33,3.64
001330,博纳影业,7.6,8.95
002511,中顺洁柔,8.56,1.26
002278,神开股份,12.7,19.14
002826,易明医药,18.38,2.78
002182,宝武镁业,15.3,2.18
002772,众兴菌业,14.59,2.51
603095,越剑智能,17.84,5.5
600889,南京化纤,16.9,3.81
603278,大业股份,17.04,35.92
600970,中材国际,10.39,0.78
002419,天虹股份,5.53,2.05
002810,山东赫达,14.83,3.88
603915,国茂股份,18.41,1.46
002631,德尔未来,5.98,2.41
600865,百大集团,16.4,13.83
600703,三安光电,14.13,1.29
