Code,Name
000059,华锦股份
002350,北京科锐
601615,明阳智能
003025,思进智能
002700,万憬能源
600768,宁波富邦
603966,法兰泰克
603697,有友食品
600182,S佳通
002952,亚世光电
000788,北大医药
000019,深粮控股
000525,红太阳
603022,新通联
603730,岱美股份
000721,西安饮食
002391,长青股份
600590,泰豪科技
000570,苏常柴Ａ
002513,蓝丰生化
600191,华资实业
002062,宏润建设
002531,天顺风能
603289,泰瑞机器
002012,凯恩股份
002999,天禾股份
603717,天域生物
600689,上海三毛
600319,亚星化学
002688,金河生物
002170,芭田股份
001366,播恩集团
603937,丽岛新材
000672,上峰水泥
603278,大业股份
002054,德美化工
000006,深振业Ａ
603110,东方材料
002059,云南旅游
002786,银宝山新
601798,蓝科高新
002575,群兴玩具
603276,恒兴新材
600051,宁波联合
002873,新天药业
