股票代码,信号发生日期,信号日收盘价,RSI(14日),MA(200日),MACD柱,KDJ_J值,未来5日收益率(%),振幅,涨跌幅,换手率
000921,2024-07-05,26.85,16.097395935517696,26.13145,-0.8705457405136325,13.682782952355968,1.0428305400372428,3.67,-1.47,1.34
000921,2024-07-04,27.25,16.776007829210542,26.107000000000003,-0.9054915102124759,2.048909257492634,-3.1926605504587147,3.46,-0.8,1.48
600081,1998-12-18,3.97,17.903722604167882,3.7805999999999993,-0.03153790647071143,7.805555555555605,0.25188916876572875,1.01,-0.25,0.18
002276,2015-08-27,15.75,18.06477043554358,15.20135,-2.5057023636066704,6.400270910937996,-8.317460317460323,11.65,-5.41,10.57
600552,2010-05-21,4.53,18.200179086080055,4.48435,-0.3318699031451636,11.507312183311845,17.439293598233995,7.59,1.12,6.75
000950,2002-10-30,5.44,18.780336953109284,5.389500000000001,-0.04093445858284879,10.071684587813857,5.330882352941169,0.74,0.18,0.16
600855,1998-12-28,4.61,18.80729840829153,4.33995,-0.10452910788097908,29.988423054659844,3.0368763557483636,6.48,-0.43,1.15
600801,1995-11-28,-5.34,18.83705381961161,-5.35295,-0.017060053349012574,28.846153846153868,0.3745318352059934,-1.69,0.0,1.24
000676,2002-11-14,13.06,18.90176966459964,11.930749999999998,-0.04614611884683201,10.65801040601989,1.3782542113323082,0.92,-0.15,0.33
600066,2004-04-28,-10.09,19.31065217104704,-10.152899999999999,-0.01826033140764477,15.999999999999698,-0.594648166501488,-0.3,0.1,0.31
600415,2003-09-23,-0.79,19.415310327035613,-0.80785,-0.000826877272076513,116.66666666666669,3.797468354430378,-1.27,0.0,0.17
600415,2003-09-24,-0.79,19.415310327035613,-0.80745,-0.0006840633175808925,83.33333333333336,3.797468354430378,0.0,0.0,0.13
000507,1999-10-21,2.03,19.7221979571745,1.8647,-0.05773853029497708,11.666666666666597,11.822660098522174,3.83,-2.87,0.58
000950,2002-11-01,5.44,19.90053385230081,5.385999999999999,-0.03093506425015899,9.139784946236729,3.676470588235281,0.74,0.18,0.18
002421,2016-12-21,6.05,20.201947391878377,6.030349999999999,-0.05275143414928091,6.1179915092958055,6.942148760330569,1.0,0.33,0.63
002421,2016-12-16,6.12,20.226997488840865,6.0028500000000005,-0.07845489712814147,15.968081848803077,-3.5947712418300637,2.3,0.49,0.87
002077,2018-01-31,12.75,20.231539179197227,12.5845,-0.09783327924342416,29.404031900612104,-24.31372549019608,4.88,-1.16,0.56
600877,1996-08-27,4.17,20.24637328466757,3.97,-0.16519613685877754,22.045446283853963,12.230215827338121,5.68,2.96,1.46
600638,2017-05-10,13.44,20.435097607029462,13.191949999999999,-0.022375033453522652,16.60204728689206,0.44642857142858094,1.63,-0.67,0.81
600862,2008-04-03,2.99,20.473020242609493,2.19925,-0.17883722275173514,3.6601307189543357,30.76923076923077,5.38,-5.38,2.08
000685,1998-02-27,-1.03,20.482881429801438,-1.0612000000000001,-0.03553407336585748,16.276664511958614,0.9708737864077666,-6.8,0.0,0.38
000685,1998-02-26,-1.03,20.482881429801438,-1.0617,-0.04508007217842816,13.55311355311354,1.9417475728155331,-5.66,2.83,0.35
600879,2004-04-28,1.77,20.532371400647918,1.7507499999999998,-0.02453737783941439,24.867724867724917,-1.1299435028248594,2.82,0.0,0.71
600880,2001-07-17,3.21,20.570170987455725,2.98445,-0.011676083989009767,23.369584345193992,-0.31152647975076775,0.93,-0.31,0.12
000517,1996-12-26,0.13,20.58507248833689,0.0861,-0.14357722570504533,12.241197554290512,130.76923076923075,122.22,44.44,2.44
000607,1998-12-11,2.58,20.646466627935283,2.40015,-0.08423288068099127,6.6037735849057775,1.5503875968992276,3.46,-0.77,0.48
000501,1996-12-25,2.18,20.73596642625337,1.60805,-0.3246433315673429,22.01771871539316,27.522935779816503,22.64,2.83,7.23
600637,1995-12-01,0.14,20.751234315431418,-0.21059999999999998,-0.08840018320826226,22.884860719743205,414.2857142857142,62.5,-12.5,0.58
600818,2002-10-11,11.65,20.799287325231646,11.6334,-0.10509273782451356,4.337899543379037,-2.746781115879826,1.81,0.17,0.14
002461,2014-07-28,5.32,20.905853109936146,5.1094,-0.046000416601415045,28.812686644012004,15.225563909774431,1.53,1.53,0.53
600638,2017-05-11,13.45,20.95781403093784,13.20545,-0.01006045216062268,18.252602245717664,0.07434944237918462,1.56,0.07,0.59
000501,1996-12-26,2.19,20.992452436317308,1.6206,-0.30105832219552503,20.190476190476204,17.35159817351597,8.72,0.46,2.67
603151,2025-11-19,19.03,21.038002167882354,18.631800000000002,-0.5665429882030995,4.027770952775202,-3.0478192327903386,3.49,-2.41,2.21
000607,1998-12-10,2.6,21.053073562701286,2.39555,-0.09051445224813554,8.957192128220877,-1.1538461538461608,4.25,0.39,1.32
002613,2014-12-24,3.98,21.081160441894056,3.8142499999999995,-0.16717700530919422,19.19191919191922,-1.2562814070351758,3.34,2.31,6.65
002613,2014-12-25,3.98,21.081160441894056,3.8221999999999996,-0.14748783740679883,12.554112554112582,-0.7537688442211032,2.26,0.0,6.26
600637,1995-11-30,0.16,21.09376996162686,-0.21825,-0.09506142752690669,27.11005878658349,200.0,152.94,-5.88,0.71
600433,2013-11-12,8.64,21.104827012702003,7.9796499999999995,-0.4522797290517788,19.59287531806622,3.587962962962954,12.05,-2.7,8.02
000605,2008-04-03,7.15,21.12553712368623,5.94585,-0.2529400805379951,2.168525402726224,28.251748251748253,5.08,-4.41,3.32
600817,2013-06-26,6.65,21.18143268438223,5.86885,-0.2913679255653119,5.8843352256526344,-2.7067669172932463,4.83,0.3,10.0
600880,2001-07-16,3.22,21.262198080184703,2.97945,-0.014187886793340654,26.378401959797337,0.9316770186335255,3.42,0.0,0.35
000547,1996-12-25,0.67,21.272810261580005,0.62825,-0.12295896915067431,15.686274509803937,44.776119402985074,16.18,-1.47,6.0
000507,1999-10-20,2.09,21.326047649579124,1.8624,-0.05935908770849255,40.833333333333265,12.918660287081352,7.32,1.95,1.03
603029,2023-04-20,19.18,21.33980582852071,18.5586,-0.10919617664713188,3.937429658286443,-1.7726798748696537,2.61,-1.69,2.43
002613,2014-12-30,3.88,21.373845549539524,3.8462,-0.08824657824414361,13.917374101620219,3.8659793814433074,4.95,1.04,5.18
600817,2013-06-19,7.6,21.434382626385954,5.7604999999999995,-0.5635717642122665,17.11956521739134,-12.49999999999999,8.64,1.06,32.08
000008,2000-06-19,6.92,21.514175956759914,6.0163,-0.009825924263418717,31.186410605802344,18.20809248554913,3.31,-0.29,0.16
