Code,StockName,Close
600058,五矿发展,11.52
603879,永悦科技,6.93
000987,越秀资本,8.4
600784,鲁银投资,7.04
002716,湖南白银,7.28
601528,瑞丰银行,5.76
603966,法兰泰克,12.05
605155,西大门,17.2
002296,辉煌科技,11.44
002674,兴业科技,14.96
000973,佛塑科技,15.25
002243,力合科创,10.81
600927,永安期货,16.08
002691,冀凯股份,9.85
600531,豫光金铅,12.24
603332,苏州龙杰,13.79
600178,东安动力,13.16
002177,御银股份,7.77
605122,四方新材,14.78
000048,京基智农,16.27
600513,联环药业,18.63
002763,汇洁股份,8.65
002537,海联金汇,9.1
000948,南天信息,18.0
605001,威奥股份,7.81
600152,维科技术,7.74
002117,东港股份,14.12
000301,东方盛虹,10.99
002560,通达股份,10.33
002476,宝莫股份,7.11
600064,南京高科,8.64
002254,泰和新材,10.27
603408,建霖家居,14.33
600955,维远股份,16.82
600517,国网英大,6.14
600481,双良节能,6.41
600810,神马股份,9.05
002221,东华能源,8.28
601857,中国石油,10.06
600000,浦发银行,12.17
002205,国统股份,14.49
603936,博敏电子,12.95
600703,三安光电,14.32
