Code,StockName,Close
600058,五矿发展,11.52
000059,华锦股份,5.35
603926,铁流股份,16.7
002363,隆基机械,10.8
603359,东珠生态,9.97
600768,宁波富邦,13.89
002296,辉煌科技,11.69
002538,司尔特,6.76
002674,兴业科技,15.51
000039,中集集团,10.04
002249,大洋电机,11.09
002107,沃华医药,6.37
600292,远达环保,13.32
002691,冀凯股份,10.05
002293,罗莱生活,10.42
000837,秦川机床,12.99
002416,爱施德,12.45
600143,金发科技,20.0
601177,杭齿前进,17.58
002493,荣盛石化,11.98
002276,万马股份,17.32
000048,京基智农,17.23
002092,中泰化学,5.15
603085,天成自控,11.98
002757,南兴股份,17.7
603095,越剑智能,18.18
002272,川润股份,18.15
600230,沧州大化,14.46
002347,泰尔股份,11.25
600236,桂冠电力,7.59
600552,凯盛科技,12.43
002201,九鼎新材,11.94
002765,蓝黛科技,12.9
002465,海格通信,15.12
002921,联诚精密,16.36
600719,大连热电,6.54
600481,双良节能,6.44
600295,鄂尔多斯,12.5
600810,神马股份,9.35
002434,万里扬,9.78
002833,弘亚数控,16.62
600765,中航重机,19.18
002152,广电运通,13.35
002205,国统股份,14.56
600075,新疆天业,5.05
002892,科力尔,13.61
