Code,Name,Latest_Close,Latest_Volume,Max_Volume_120d,Low_Price_40d_Threshold
002761,浙江建投,8.47,61933,1873401,8.529
002908,德生科技,9.21,45232,1320495,9.264000000000001
603980,吉华集团,5.08,76686,1639101,5.091
600168,武汉控股,5.12,48809,1764969,5.173
603051,鹿山新材,19.92,24096,489008,19.997
002644,佛慈制药,8.45,27040,890329,8.481
601008,连云港,5.18,86978,1961582,5.21
603035,常熟汽饰,15.04,26488,627636,15.1165
600698,湖南天雁,8.89,61776,2231390,8.9105
601800,中国交建,8.4,141724,2936105,8.4285
000541,佛山照明,6.06,37489,1500701,6.084499999999999
000045,深纺织Ａ,11.91,41372,947363,12.08
000989,九芝堂,8.94,79774,1886390,9.022
002598,山东章鼓,10.79,34350,1083898,10.863
600826,兰生股份,10.59,66693,1467864,10.6075
603676,卫信康,10.69,14273,447473,10.748
600571,信雅达,14.87,56392,1790096,15.003499999999999
003038,鑫铂股份,15.26,22006,530672,15.436
000920,沃顿科技,11.96,30507,808142,11.999
002401,中远海科,15.47,28549,1196969,15.586
002722,物产金轮,14.99,19396,414040,15.070500000000001
002423,中粮资本,11.51,82529,2079182,11.5355
002846,英联股份,15.7,49984,1033209,15.9645
002094,青岛金王,7.09,124829,2882452,7.1145
002550,千红制药,7.94,97428,2067770,8.008000000000001
002232,启明信息,17.88,39106,1152249,18.090999999999998
000705,浙江震元,9.19,55246,1333756,9.219
600178,东安动力,11.51,27180,810419,11.5925
002391,长青股份,5.69,39319,869268,5.707000000000001
002030,达安基因,6.12,82997,2067455,6.121
002302,西部建设,6.13,68685,2049463,6.1315
000026,飞亚达,15.0,33079,870002,15.051
600727,鲁北化工,6.82,32961,934412,6.863499999999999
600722,金牛化工,5.88,59266,1577450,5.93
000650,仁和药业,5.83,126653,3162271,5.8575
003040,楚天龙,18.21,67215,1436356,18.232
002623,亚玛顿,18.14,14037,564610,18.246
605169,洪通燃气,13.42,20449,470327,13.4615
603811,诚意药业,10.63,26271,966219,10.747
002917,金奥博,12.85,31478,947081,12.927
002148,北纬科技,8.46,80592,2732456,8.528500000000001
002212,天融信,8.73,204065,4482511,8.8475
605500,森林包装,8.59,25791,746420,8.634
002907,华森制药,15.21,16203,390252,15.316500000000001
603339,四方科技,12.65,23636,492011,12.696000000000002
600643,爱建集团,5.24,98976,3297117,5.2405
002467,二六三,5.99,255562,5120995,6.0235
605018,长华集团,10.83,13392,375172,10.8805
600610,中毅达,9.76,93665,1878818,9.894
603617,君禾股份,7.11,52797,1138793,7.118
003037,三和管桩,7.48,36546,1224425,7.5264999999999995
603086,先达股份,8.03,39054,1655575,8.1205
002724,海洋王,6.85,39638,1124382,6.858499999999999
603229,奥翔药业,9.42,32687,1141268,9.4765
600720,中交设计,7.44,48754,1483201,7.442
600822,上海物贸,10.54,41223,959678,10.599
002457,青龙管业,10.66,39045,999403,10.739
603020,爱普股份,9.82,23611,531849,9.857
000710,贝瑞基因,11.19,45126,1057761,11.2515
600668,尖峰集团,11.12,24101,751890,11.173499999999999
600876,凯盛新能,9.79,19696,467030,9.809000000000001
000655,金岭矿业,8.99,49237,1428741,9.013
605162,新中港,8.64,30561,718013,8.694
600173,卧龙新能,7.1,69781,1516310,7.260999999999999
600551,时代出版,8.2,30232,775324,8.2745
600731,湖南海利,6.74,52395,1276356,6.7455
