Code,Name,Latest_Close,Latest_Turnover
600179,安通控股,5.41,7.72
000501,武商集团,10.25,2.39
600176,中国巨石,16.79,2.14
603166,福达股份,15.63,3.43
002328,新朋股份,6.8,4.79
600029,南方航空,7.6,0.5
603626,科森科技,15.71,14.27
600226,亨通股份,5.09,3.51
001330,博纳影业,8.29,17.76
002278,神开股份,12.09,15.12
600783,鲁信创投,17.44,5.86
002182,宝武镁业,14.99,3.33
002772,众兴菌业,14.8,4.42
000586,汇源通信,14.3,3.55
000715,中兴商业,6.67,6.15
603002,宏昌电子,7.7,5.09
600889,南京化纤,15.97,1.53
002167,东方锆业,12.43,2.38
002519,银河电子,5.86,13.02
600970,中材国际,10.51,1.31
002419,天虹股份,5.73,2.84
002810,山东赫达,15.8,14.25
002631,德尔未来,5.88,6.22
600865,百大集团,19.73,20.83
