Code,Latest_Close
600058,9.18
002284,12.4
600644,10.5
600141,31.35
603613,28.95
603124,73.51
000906,5.79
002196,12.47
603369,34.89
002432,40.31
002880,25.57
000596,145.47
002088,10.88
000582,8.83
601187,7.56
600196,28.28
002017,20.91
603739,14.2
002761,8.54
603823,16.11
603176,5.26
600150,34.21
002946,17.3
000858,111.6
002246,17.4
002104,18.6
000530,8.19
000811,18.2
000681,22.32
603901,13.6
605077,14.5
002614,7.25
001360,23.6
603036,20.15
600961,15.71
605377,7.76
600030,28.41
600352,10.45
001391,6.16
000683,6.84
002777,17.69
603938,17.54
603070,12.73
002055,6.87
002759,32.27
600031,21.32
605180,13.87
000726,6.91
600116,6.43
601965,16.45
002908,9.22
002365,15.22
603050,18.06
002352,37.43
600732,13.14
603900,8.78
605255,144.98
605086,40.31
605005,19.33
002932,17.75
600867,8.86
000852,7.12
001319,25.16
603995,16.9
601001,14.3
002389,22.76
603087,66.28
002635,13.61
603075,21.88
002322,11.9
002870,35.82
002931,19.7
605100,43.0
601997,5.91
603980,5.05
600651,8.15
000877,5.43
002849,13.6
001215,38.55
000020,15.33
603032,18.15
002056,19.44
600085,32.4
002281,67.24
002400,8.4
603668,17.3
002111,9.85
002803,15.79
002543,9.93
601006,5.44
600734,5.66
002676,7.97
002587,6.5
001400,67.8
002520,6.24
000510,9.77
000409,10.99
001277,38.26
002198,6.92
600674,14.45
002474,10.4
600678,14.14
000059,5.03
603636,13.0
002036,11.19
000833,18.9
605089,25.56
002890,14.64
603879,5.9
002649,12.95
600714,11.76
002737,15.14
600212,8.26
603948,25.72
001378,22.53
603926,15.99
001259,28.72
600367,15.36
002462,15.15
603496,27.21
002180,18.62
002913,42.9
002052,12.42
600476,15.23
002131,5.21
002213,26.44
002580,12.32
603297,99.4
002134,23.91
603803,11.31
600438,21.62
603158,9.74
002937,21.76
000801,17.85
600114,30.53
000423,48.88
603291,10.0
000600,8.29
002708,12.56
603716,20.67
600658,5.42
600281,5.99
605577,12.97
603138,13.9
601118,5.63
002402,42.01
600690,26.94
600171,31.83
002049,77.02
002471,5.31
002320,12.52
000733,49.68
600829,11.55
002866,17.72
