Code,Name,Latest_Close,Latest_Turnover
002474,榕基软件,9.45,10.66
000501,武商集团,10.37,3.55
600318,新力金融,9.07,5.5
600029,南方航空,7.65,0.54
603626,科森科技,15.09,16.56
600226,亨通股份,5.18,5.39
603586,金麒麟,18.8,1.66
001330,博纳影业,9.06,3.84
600158,中体产业,9.12,4.22
002772,众兴菌业,14.69,5.43
600258,首旅酒店,16.9,2.39
000586,汇源通信,14.2,4.9
600185,珠免集团,7.23,4.69
000715,中兴商业,6.82,10.25
002519,银河电子,6.07,11.91
603043,广州酒家,18.39,0.96
600970,中材国际,10.3,1.01
002419,天虹股份,5.92,4.21
002810,山东赫达,14.54,6.68
600724,宁波富达,5.75,2.4
600865,百大集团,19.0,23.96
002355,兴民智通,6.36,11.89
605388,均瑶健康,8.33,4.79
