Code,Name,Latest_Close,Latest_Turnover
002432,九安医疗,40.31,1.24
001360,南矿集团,23.6,27.82
002777,久远银海,17.69,0.86
605255,天普股份,144.98,2.7
605086,龙高股份,40.31,2.6
605005,合兴股份,19.33,1.91
002931,锋龙股份,19.7,4.56
605100,华丰股份,43.0,1.76
600651,飞乐音响,8.15,1.59
002400,省广集团,8.4,4.35
603668,天马科技,17.3,8.68
002474,榕基软件,10.4,20.89
000059,华锦股份,5.03,0.95
603636,南威软件,13.0,6.88
605089,味知香,25.56,1.04
002737,葵花药业,15.14,1.62
001259,利仁科技,28.72,7.17
000801,四川九洲,17.85,12.72
002402,和而泰,42.01,13.24
600829,人民同泰,11.55,4.56
002033,丽江股份,8.81,1.32
603286,日盈电子,55.25,4.95
600776,东方通信,16.09,3.72
600730,中国高科,15.91,13.29
600251,冠农股份,8.4,0.99
603083,剑桥科技,119.4,15.09
603063,禾望电气,31.14,9.32
002741,光华科技,21.05,3.86
002392,北京利尔,7.61,0.78
002889,东方嘉盛,15.83,2.66
003030,祖名股份,19.72,2.51
600259,广晟有色,52.66,3.75
002383,合众思壮,9.86,3.78
000921,海信家电,25.95,0.82
002966,苏州银行,8.11,0.7
600123,兰花科创,5.93,1.74
002363,隆基机械,8.45,7.96
600110,诺德股份,6.94,3.38
600237,铜峰电子,8.99,14.24
603017,中衡设计,10.8,10.32
000632,三木集团,6.11,20.0
000848,承德露露,8.5,0.84
601169,北京银行,5.52,0.58
600113,浙江东日,57.96,1.81
002268,电科网安,18.22,2.2
600246,万通发展,12.79,4.78
000998,隆平高科,9.46,0.74
600038,中直股份,34.88,0.79
002805,丰元股份,16.77,6.34
601766,中国中车,7.09,0.8
002343,慈文传媒,7.99,7.63
002806,华锋股份,11.91,4.72
002900,哈三联,13.19,3.03
000025,特  力Ａ,17.7,2.53
002119,康强电子,16.35,2.2
000061,农 产 品,9.23,0.83
603206,嘉环科技,16.92,1.09
002755,奥赛康,16.88,0.81
002771,真视通,15.24,2.01
000503,国新健康,9.2,1.12
002371,北方华创,455.1,1.1
600026,中远海能,11.41,1.36
600661,昂立教育,10.25,2.08
002544,普天科技,32.5,11.68
600770,综艺股份,5.15,0.99
601963,重庆银行,10.91,0.66
600744,华银电力,6.28,4.4
600589,大位科技,7.21,3.17
600127,金健米业,6.85,4.02
603607,京华激光,25.85,2.82
000788,北大医药,6.42,5.54
001313,粤海饲料,8.19,1.38
603037,凯众股份,13.76,3.1
002490,山东墨龙,6.46,3.62
600706,曲江文旅,11.45,11.23
000571,新大洲A,6.56,11.99
600838,上海九百,8.5,3.74
603336,宏辉果蔬,8.88,1.53
600858,银座股份,6.14,9.85
603137,恒尚节能,13.88,1.96
603001,奥康国际,8.59,1.51
600573,惠泉啤酒,11.85,13.09
003007,直真科技,32.88,1.83
002968,新大正,11.24,1.86
603218,日月股份,12.98,1.08
600835,上海机电,27.92,1.55
600105,永鼎股份,21.88,25.66
601007,金陵饭店,7.64,4.94
603730,岱美股份,7.83,0.63
003018,金富科技,18.5,18.52
605179,一鸣食品,21.16,1.82
603038,华立股份,16.58,1.73
002800,天顺股份,13.43,5.04
605006,山东玻纤,7.13,0.89
605300,佳禾食品,11.76,0.82
000411,英特集团,11.49,2.49
002294,信立泰,58.7,0.86
002778,中晟高科,20.67,2.72
600814,杭州解百,7.71,3.05
600331,宏达股份,10.7,2.26
603931,格林达,38.46,5.87
001387,雪祺电气,14.32,5.29
002627,三峡旅游,6.93,2.83
000721,西安饮食,9.89,13.28
002893,京能热力,12.37,7.86
000028,国药一致,24.69,1.05
001330,博纳影业,13.35,19.08
600888,新疆众和,7.77,1.83
600673,东阳光,23.05,1.7
003016,欣贺股份,10.36,9.21
603116,红蜻蜓,5.64,1.28
002166,莱茵生物,8.7,3.1
002629,仁智股份,7.65,1.6
000700,模塑科技,11.03,5.85
603777,来伊份,13.01,1.86
601058,赛轮轮胎,17.9,1.09
603100,川仪股份,22.43,1.33
002902,铭普光磁,23.29,9.7
603682,锦和商管,6.36,4.51
600060,海信视像,25.01,0.69
002080,中材科技,32.82,3.36
002011,盾安环境,12.51,1.35
001368,通达创智,24.96,12.56
002732,燕塘乳业,16.84,2.19
603895,天永智能,28.16,0.97
600996,贵广网络,11.15,1.51
603096,新经典,17.09,1.14
002686,亿利达,6.55,4.63
000799,酒鬼酒,55.74,5.09
600877,电科芯片,15.37,2.84
000829,天音控股,10.78,5.3
600855,航天长峰,20.34,8.18
002767,先锋电子,21.06,8.07
601890,亚星锚链,10.44,4.8
000505,京粮控股,8.23,10.88
