Code,Name,Latest_Close,Latest_Turnover
600179,安通控股,5.9,10.76
603166,福达股份,15.79,2.12
600029,南方航空,7.74,0.62
603626,科森科技,17.75,22.69
600226,亨通股份,5.24,2.94
001330,博纳影业,7.72,10.18
002511,中顺洁柔,8.45,1.79
002278,神开股份,12.72,21.69
603949,雪龙集团,18.9,3.67
002182,宝武镁业,15.31,3.95
002772,众兴菌业,14.83,3.8
603095,越剑智能,17.35,7.36
600889,南京化纤,16.54,2.89
002167,东方锆业,12.42,2.76
603278,大业股份,14.08,7.5
002519,银河电子,6.3,12.84
600970,中材国际,10.36,0.99
002419,天虹股份,5.7,2.49
002810,山东赫达,15.0,5.54
603915,国茂股份,18.3,2.24
002631,德尔未来,6.19,4.59
600865,百大集团,19.2,14.24
603969,银龙股份,10.07,2.53
600703,三安光电,14.32,3.05
