Code,Name,Latest_Close,Latest_Turnover
002474,榕基软件,9.61,13.53
000501,武商集团,10.57,7.27
601086,国芳集团,10.79,5.3
600029,南方航空,7.7,0.54
603626,科森科技,15.15,16.56
000411,英特集团,13.07,10.11
001330,博纳影业,10.07,17.89
603777,来伊份,14.89,17.9
603917,合力科技,14.88,6.94
002772,众兴菌业,14.66,8.87
600258,首旅酒店,17.12,2.47
000802,北京文化,5.22,8.66
000586,汇源通信,13.87,7.64
000715,中兴商业,6.74,8.36
002519,银河电子,6.14,12.91
603043,广州酒家,18.52,1.02
600970,中材国际,10.28,1.38
002419,天虹股份,6.0,5.91
000017,深中华A,8.42,16.57
600865,百大集团,18.01,25.66
002355,兴民智通,6.43,18.63
605388,均瑶健康,8.39,6.83
