Code,Name,Latest_Close,Latest_Turnover
600179,安通控股,5.49,8.74
603166,福达股份,16.06,2.74
000589,贵州轮胎,5.23,3.24
603626,科森科技,19.53,16.8
600226,亨通股份,5.12,2.71
001330,博纳影业,7.87,10.53
002511,中顺洁柔,8.47,1.24
002278,神开股份,13.14,25.19
002182,宝武镁业,15.3,2.62
002772,众兴菌业,14.53,3.22
605555,德昌股份,18.67,3.3
603095,越剑智能,18.18,7.93
600889,南京化纤,16.42,3.53
002840,华统股份,9.72,2.64
603278,大业股份,15.49,7.68
002519,银河电子,6.39,15.15
600970,中材国际,10.33,0.73
002419,天虹股份,5.55,3.03
002810,山东赫达,14.85,3.58
603915,国茂股份,18.52,2.74
002631,德尔未来,5.98,3.51
600865,百大集团,17.28,12.52
600703,三安光电,14.16,1.5
