Code,Name,Latest_Close,Latest_Turnover
600179,安通控股,5.95,4.3
000501,武商集团,10.32,2.49
600106,重庆路桥,6.5,2.87
600586,金晶科技,6.2,5.71
600176,中国巨石,16.59,1.1
603166,福达股份,16.06,3.29
002328,新朋股份,6.86,2.96
603626,科森科技,15.63,9.62
600226,亨通股份,5.24,3.72
001330,博纳影业,7.94,13.13
002278,神开股份,12.24,12.64
600783,鲁信创投,19.18,6.85
002182,宝武镁业,15.08,2.69
002772,众兴菌业,15.0,5.15
605555,德昌股份,18.41,1.96
603095,越剑智能,15.96,4.37
000586,汇源通信,14.18,3.81
600475,华光环能,19.47,3.69
002752,昇兴股份,8.01,11.95
000715,中兴商业,6.57,4.6
600416,湘电股份,14.39,3.22
603890,春秋电子,17.46,11.96
600889,南京化纤,16.14,1.82
000686,东北证券,9.51,4.1
002167,东方锆业,12.43,2.12
603278,大业股份,11.64,18.87
002519,银河电子,6.11,12.4
600970,中材国际,10.3,0.92
002419,天虹股份,5.79,3.26
002810,山东赫达,15.49,6.69
603915,国茂股份,17.77,1.99
002631,德尔未来,6.22,8.49
002346,柘中股份,19.62,2.63
603809,豪能股份,14.05,10.43
600703,三安光电,13.78,1.74
