Code,Name,Latest_Close,Latest_Turnover
600058,五矿发展,9.18,1.84
002284,亚太股份,12.4,1.23
600644,乐山电力,10.5,6.25
600141,兴发集团,31.35,1.52
603613,国联股份,28.95,1.98
603124,江南新材,73.51,4.07
000906,浙商中拓,5.79,0.65
002196,方正电机,12.47,6.42
603369,今世缘,34.89,0.6
002432,九安医疗,40.31,1.24
000596,古井贡酒,145.47,1.22
002088,鲁阳节能,10.88,1.13
000582,北部湾港,8.83,0.72
601187,厦门银行,7.56,1.36
600196,复星医药,28.28,0.95
002017,东信和平,20.91,2.44
603739,蔚蓝生物,14.2,1.04
002761,浙江建投,8.54,0.62
603823,百合花,16.11,2.06
603176,汇通集团,5.26,1.27
600150,中国船舶,34.21,0.68
002946,新乳业,17.3,1.54
000858,五 粮 液,111.6,0.66
002246,北化股份,17.4,4.46
002104,恒宝股份,18.6,8.58
000530,冰山冷热,8.19,29.92
000811,冰轮环境,18.2,7.17
000681,视觉中国,22.32,4.47
603901,永创智能,13.6,2.73
605077,华康股份,14.5,1.04
002614,奥佳华,7.25,8.23
001360,南矿集团,23.6,27.82
603036,如通股份,20.15,1.54
600961,株冶集团,15.71,3.7
605377,华旺科技,7.76,3.83
600030,中信证券,28.41,0.88
600352,浙江龙盛,10.45,0.73
001391,国货航,6.16,1.35
000683,博源化工,6.84,0.82
002777,久远银海,17.69,0.86
603938,三孚股份,17.54,1.49
603070,万控智造,12.73,0.61
002055,得润电子,6.87,2.33
002759,天际股份,32.27,16.24
600031,三一重工,21.32,0.63
605180,华生科技,13.87,1.45
000726,鲁  泰Ａ,6.91,1.35
600116,三峡水利,6.43,0.57
002908,德生科技,9.22,1.77
002365,永安药业,15.22,1.81
603050,科林电气,18.06,1.7
002352,顺丰控股,37.43,0.51
600732,爱旭股份,13.14,1.49
603900,莱绅通灵,8.78,2.08
605255,天普股份,144.98,2.7
605086,龙高股份,40.31,2.6
605005,合兴股份,19.33,1.91
002932,明德生物,17.75,2.46
600867,通化东宝,8.86,2.2
000852,石化机械,7.12,1.38
001319,铭科精技,25.16,1.96
603995,甬金股份,16.9,0.82
601001,晋控煤业,14.3,1.54
002389,航天彩虹,22.76,2.77
603087,甘李药业,66.28,1.98
002635,安洁科技,13.61,1.12
603075,热威股份,21.88,2.6
002322,理工能科,11.9,0.62
002870,香山股份,35.82,2.38
002931,锋龙股份,19.7,4.56
605100,华丰股份,43.0,1.76
601997,贵阳银行,5.91,0.66
