Code,Name,Latest_Close,Latest_Turnover
600179,安通控股,6.55,15.41
000501,武商集团,10.28,2.53
600586,金晶科技,6.33,5.47
600176,中国巨石,16.59,1.07
603166,福达股份,15.77,3.41
603626,科森科技,17.19,17.38
600226,亨通股份,5.18,2.21
001330,博纳影业,8.05,13.19
002278,神开股份,12.53,26.45
601788,光大证券,17.81,1.53
002182,宝武镁业,15.4,4.36
002772,众兴菌业,14.95,3.15
603095,越剑智能,16.25,6.4
000586,汇源通信,13.96,2.9
002752,昇兴股份,8.81,12.6
000715,中兴商业,6.68,7.8
600889,南京化纤,16.35,2.25
000686,东北证券,9.55,3.07
002167,东方锆业,12.62,3.96
603278,大业股份,12.8,12.93
603660,苏州科达,11.06,12.33
002519,银河电子,6.25,15.84
600970,中材国际,10.23,0.78
002419,天虹股份,5.75,2.83
002810,山东赫达,15.46,5.27
603915,国茂股份,18.13,2.69
002631,德尔未来,6.4,7.04
600703,三安光电,13.96,2.12
