Code,StockName,Close
600058,五矿发展,11.52
002908,德生科技,10.53
002400,省广集团,8.87
603926,铁流股份,17.07
002471,中超控股,8.02
002945,华林证券,15.33
603331,百达精工,14.25
002492,恒基达鑫,8.74
002361,神剑股份,14.34
003039,顺控发展,15.93
600273,嘉化能源,8.74
002094,青岛金王,7.65
603332,苏州龙杰,13.88
002177,御银股份,9.41
000700,模塑科技,14.38
002367,康力电梯,8.06
603219,富佳股份,16.84
600266,城建发展,5.07
002757,南兴股份,19.47
002148,北纬科技,8.9
600728,佳都科技,6.68
600230,沧州大化,15.26
600416,湘电股份,15.78
605018,长华集团,11.58
002765,蓝黛科技,13.37
002921,联诚精密,17.02
603278,大业股份,17.04
002152,广电运通,13.81
000559,万向钱潮,17.2
000919,金陵药业,7.95
600843,上工申贝,12.54
