Code,Name,Latest_Date,Latest_Close,High_Price,Pullback_Percent,Pullback_Days
601187,厦门银行,2025-12-15,7.56,7.63,0.92%,13
002761,浙江建投,2025-12-15,8.47,9.65,12.23%,28
000530,冰山冷热,2025-12-15,7.91,8.19,3.42%,3
002614,奥佳华,2025-12-15,7.32,8.15,10.18%,6
000683,博源化工,2025-12-15,7.03,7.53,6.64%,26
603070,万控智造,2025-12-15,12.84,14.57,11.87%,28
605180,华生科技,2025-12-15,14.0,16.47,15.00%,24
000726,鲁  泰Ａ,2025-12-15,6.92,7.56,8.47%,28
002908,德生科技,2025-12-15,9.21,10.29,10.50%,27
002635,安洁科技,2025-12-15,13.43,14.08,4.62%,14
603980,吉华集团,2025-12-15,5.08,5.87,13.46%,28
000020,深华发Ａ,2025-12-15,14.74,17.19,14.25%,7
600734,实达集团,2025-12-15,5.85,6.7,12.69%,7
002587,奥拓电子,2025-12-15,6.58,6.83,3.66%,6
002520,日发精机,2025-12-16,6.1,6.62,7.85%,11
000510,新金路,2025-12-15,10.11,10.41,2.88%,10
000409,云鼎科技,2025-12-15,11.07,12.78,13.38%,20
600678,四川金顶,2025-12-15,14.26,14.73,3.19%,4
000059,华锦股份,2025-12-15,5.05,5.53,8.68%,28
603636,南威软件,2025-12-15,12.99,14.54,10.66%,13
002649,博彦科技,2025-12-15,12.87,13.93,7.61%,19
603803,瑞斯康达,2025-12-15,11.61,11.95,2.85%,6
603291,联合水务,2025-12-15,10.0,11.25,11.11%,21
600281,华阳新材,2025-12-15,6.11,6.56,6.86%,12
002471,中超控股,2025-12-16,5.72,5.84,2.05%,1
601369,陕鼓动力,2025-12-15,10.24,10.35,1.06%,3
600795,国电电力,2025-12-15,5.88,5.9,0.34%,3
600757,长江传媒,2025-12-15,8.96,9.24,3.03%,4
600202,哈空调,2025-12-15,5.76,6.61,12.86%,28
000536,华映科技,2025-12-15,5.52,6.18,10.68%,7
002858,力盛体育,2025-12-15,14.69,15.6,5.83%,4
000566,海南海药,2025-12-15,7.43,8.7,14.60%,19
002753,永东股份,2025-12-15,7.14,8.23,13.24%,25
002817,黄山胶囊,2025-12-15,7.63,8.49,10.13%,28
600251,冠农股份,2025-12-15,8.43,9.34,9.74%,26
603528,多伦科技,2025-12-15,9.46,10.03,5.68%,7
000422,湖北宜化,2025-12-15,14.08,16.27,13.46%,25
600039,四川路桥,2025-12-15,10.12,10.25,1.27%,3
002123,梦网科技,2025-12-15,12.26,12.56,2.39%,3
000035,中国天楹,2025-12-15,5.97,6.19,3.55%,7
603212,赛伍技术,2025-12-15,12.52,13.79,9.21%,7
002685,华东重机,2025-12-15,7.89,8.41,6.18%,5
002571,德力股份,2025-12-15,9.13,9.68,5.68%,5
000157,中联重科,2025-12-15,8.57,8.67,1.15%,3
600860,京城股份,2025-12-15,12.86,13.44,4.32%,28
002966,苏州银行,2025-12-15,8.14,8.34,2.40%,14
002277,友阿股份,2025-12-16,7.26,7.3,0.55%,7
600099,林海股份,2025-12-15,10.07,11.36,11.36%,28
002075,沙钢股份,2025-12-15,5.67,6.03,5.97%,18
002363,隆基机械,2025-12-16,8.15,9.49,14.12%,8
002429,兆驰股份,2025-12-16,6.74,7.32,7.92%,6
600707,彩虹股份,2025-12-15,6.45,6.63,2.71%,10
603551,奥普科技,2025-12-15,12.26,12.79,4.14%,21
002802,洪汇新材,2025-12-15,12.27,13.92,11.85%,28
600697,欧亚集团,2025-12-15,13.07,14.31,8.67%,28
600908,无锡银行,2025-12-15,5.91,6.24,5.29%,12
603359,东珠生态,2025-12-15,8.51,9.18,7.30%,6
002448,中原内配,2025-12-16,12.23,12.53,2.39%,1
600755,厦门国贸,2025-12-15,6.5,7.24,10.22%,5
000558,天府文旅,2025-12-15,5.26,6.05,13.06%,14
002029,七 匹 狼,2025-12-15,11.4,12.02,5.16%,5
603017,中衡设计,2025-12-15,10.52,11.9,11.60%,12
002743,富煌钢构,2025-12-15,5.3,5.88,9.86%,28
000156,华数传媒,2025-12-15,7.42,8.2,9.51%,27
600189,泉阳泉,2025-12-15,7.12,7.65,6.93%,28
600006,东风股份,2025-12-15,7.1,8.12,12.56%,28
601169,北京银行,2025-12-15,5.54,5.82,4.81%,25
600246,万通发展,2025-12-15,12.2,13.95,12.54%,18
002381,双箭股份,2025-12-16,6.47,7.11,9.00%,29
605069,正和生态,2025-12-15,9.45,10.94,13.62%,28
603966,法兰泰克,2025-12-15,10.82,12.26,11.75%,28
600797,浙大网新,2025-12-15,9.91,11.39,12.99%,21
002413,雷科防务,2025-12-16,9.85,9.98,1.30%,1
000065,北方国际,2025-12-15,12.6,13.04,3.37%,19
600328,中盐化工,2025-12-15,7.91,9.01,12.21%,26
002343,慈文传媒,2025-12-16,7.86,8.53,7.85%,6
002809,红墙股份,2025-12-15,10.48,12.0,12.67%,28
600198,大唐电信,2025-12-15,8.6,8.9,3.37%,4
603956,威派格,2025-12-15,6.25,7.0,10.71%,21
001338,永顺泰,2025-12-15,12.3,12.37,0.57%,28
000061,农 产 品,2025-12-15,10.15,10.29,1.36%,27
000039,中集集团,2025-12-15,9.17,9.5,3.47%,7
603727,博迈科,2025-12-15,14.08,15.69,10.26%,14
000917,电广传媒,2025-12-15,8.97,9.4,4.57%,5
000702,正虹科技,2025-12-15,6.65,7.65,13.07%,28
002072,凯瑞德,2025-12-15,7.33,8.0,8.38%,27
600223,福瑞达,2025-12-15,7.35,8.22,10.58%,26
002449,国星光电,2025-12-16,8.29,9.06,8.50%,15
603060,国检集团,2025-12-15,6.09,6.77,10.04%,28
603466,风语筑,2025-12-15,9.11,10.4,12.40%,21
601963,重庆银行,2025-12-15,11.09,11.59,4.31%,12
002107,沃华医药,2025-12-15,6.17,7.15,13.71%,11
600589,大位科技,2025-12-15,7.09,8.03,11.71%,14
600127,金健米业,2025-12-15,6.97,7.23,3.60%,21
600828,茂业商业,2025-12-15,6.52,7.16,8.94%,4
000788,北大医药,2025-12-15,6.51,7.52,13.43%,11
001313,粤海饲料,2025-12-15,8.31,8.89,6.52%,7
000425,徐工机械,2025-12-15,11.25,11.31,0.53%,3
002351,漫步者,2025-12-16,12.21,13.08,6.65%,15
000589,贵州轮胎,2025-12-15,5.03,5.2,3.27%,10
003003,天元股份,2025-12-15,13.25,14.44,8.24%,14
002427,尤夫股份,2025-12-16,6.19,7.19,13.91%,29
600706,曲江文旅,2025-12-15,11.14,11.45,2.71%,3
000571,新大洲A,2025-12-15,6.19,7.01,11.70%,7
603700,宁水集团,2025-12-15,12.81,13.31,3.76%,28
002596,海南瑞泽,2025-12-15,6.17,6.69,7.77%,14
601133,柏诚股份,2025-12-15,14.64,15.0,2.40%,3
600929,雪天盐业,2025-12-15,5.76,6.32,8.86%,28
600966,博汇纸业,2025-12-15,5.98,6.44,7.14%,14
001322,箭牌家居,2025-12-15,8.33,8.86,5.98%,21
000610,西安旅游,2025-12-15,12.33,12.93,4.64%,12
600838,上海九百,2025-12-15,8.6,9.27,7.23%,14
600155,华创云信,2025-12-15,6.84,7.73,11.51%,27
002361,神剑股份,2025-12-16,7.01,7.14,1.82%,1
002883,中设股份,2025-12-15,10.8,12.16,11.18%,28
600965,福成股份,2025-12-15,5.4,6.06,10.89%,25
002491,通鼎互联,2025-12-16,5.62,5.88,4.42%,5
601155,新城控股,2025-12-15,13.91,15.53,10.43%,25
603137,恒尚节能,2025-12-15,13.86,15.24,9.06%,27
002671,龙泉股份,2025-12-15,5.2,5.94,12.46%,11
000019,深粮控股,2025-12-15,6.94,7.71,9.99%,21
000863,三湘印象,2025-12-15,5.09,5.28,3.60%,14
002515,金字火腿,2025-12-16,6.46,7.06,8.50%,7
603022,新通联,2025-12-15,9.57,10.89,12.12%,28
603578,三星新材,2025-12-15,11.89,13.83,14.03%,28
600573,惠泉啤酒,2025-12-15,12.09,14.17,14.68%,6
601038,一拖股份,2025-12-15,14.18,14.33,1.05%,3
002825,纳尔股份,2025-12-15,12.09,12.15,0.49%,6
603269,海鸥股份,2025-12-15,13.35,13.55,1.48%,3
002026,山东威达,2025-12-15,14.08,16.49,14.61%,10
002681,奋达科技,2025-12-15,6.66,7.56,11.90%,14
002642,荣联科技,2025-12-15,8.11,9.49,14.54%,19
000529,广弘控股,2025-12-15,6.02,6.36,5.35%,13
601007,金陵饭店,2025-12-15,7.73,8.0,3.37%,5
603730,岱美股份,2025-12-15,8.11,8.38,3.22%,19
600679,上海凤凰,2025-12-15,13.75,14.78,6.97%,5
002144,宏达高科,2025-12-15,12.48,14.41,13.39%,27
002722,物产金轮,2025-12-15,14.99,16.79,10.72%,27
600063,皖维高新,2025-12-15,6.1,6.99,12.73%,28
603779,威龙股份,2025-12-15,6.47,7.44,13.04%,28
003039,顺控发展,2025-12-15,14.32,14.54,1.51%,3
605300,佳禾食品,2025-12-15,11.93,12.82,6.94%,28
000411,英特集团,2025-12-15,11.79,12.93,8.82%,12
000042,中洲控股,2025-12-15,7.77,8.32,6.61%,12
000953,河化股份,2025-12-15,7.91,8.15,2.94%,5
603703,盛洋科技,2025-12-15,13.0,13.15,1.14%,5
