Code,Name,Latest_Date,Latest_Close,High_Price,Pullback_Percent,Pullback_Days
601187,厦门银行,2025-12-12,7.56,7.63,0.92%,10
603739,蔚蓝生物,2025-12-12,14.2,16.08,11.69%,30
002761,浙江建投,2025-12-15,8.47,9.65,12.23%,28
000530,冰山冷热,2025-12-15,7.91,8.19,3.42%,3
000811,冰轮环境,2025-12-15,16.93,18.2,6.98%,3
603901,永创智能,2025-12-12,13.6,13.99,2.79%,2
002614,奥佳华,2025-12-15,7.32,8.15,10.18%,6
600352,浙江龙盛,2025-12-12,10.45,11.23,6.95%,29
000683,博源化工,2025-12-15,7.03,7.53,6.64%,26
002777,久远银海,2025-12-15,17.64,19.76,10.73%,20
603070,万控智造,2025-12-12,12.73,14.57,12.63%,25
000726,鲁  泰Ａ,2025-12-15,6.92,7.56,8.47%,28
002908,德生科技,2025-12-15,9.21,10.29,10.50%,27
605005,合兴股份,2025-12-12,19.33,19.47,0.72%,1
002635,安洁科技,2025-12-15,13.43,14.08,4.62%,14
002931,锋龙股份,2025-12-15,19.04,21.76,12.50%,17
603980,吉华集团,2025-12-12,5.05,5.87,13.97%,25
000020,深华发Ａ,2025-12-15,14.74,17.19,14.25%,7
002400,省广集团,2025-12-15,8.39,9.74,13.86%,21
603668,天马科技,2025-12-12,17.3,19.16,9.71%,2
002587,奥拓电子,2025-12-15,6.58,6.83,3.66%,6
002520,日发精机,2025-12-15,6.24,6.62,5.74%,10
000510,新金路,2025-12-15,10.11,10.41,2.88%,10
000409,云鼎科技,2025-12-15,11.07,12.78,13.38%,20
600678,四川金顶,2025-12-12,14.14,14.73,4.01%,1
000059,华锦股份,2025-12-15,5.05,5.53,8.68%,28
603636,南威软件,2025-12-12,13.0,14.54,10.59%,10
002649,博彦科技,2025-12-15,12.87,13.93,7.61%,19
002737,葵花药业,2025-12-15,15.28,15.35,0.46%,4
603803,瑞斯康达,2025-12-12,11.31,11.95,5.36%,3
000801,四川九洲,2025-12-15,17.08,17.85,4.31%,3
603291,联合水务,2025-12-12,10.0,11.25,11.11%,18
600281,华阳新材,2025-12-12,5.99,6.56,8.69%,9
601118,海南橡胶,2025-12-12,5.63,6.27,10.21%,28
001205,盛航股份,2025-12-15,17.4,18.47,5.79%,7
600757,长江传媒,2025-12-12,9.15,9.24,0.97%,1
600202,哈空调,2025-12-15,5.76,6.61,12.86%,28
000536,华映科技,2025-12-15,5.52,6.18,10.68%,7
000739,普洛药业,2025-12-15,16.22,16.26,0.25%,12
603778,国晟科技,2025-12-12,12.5,13.89,10.01%,1
601577,长沙银行,2025-12-12,9.48,10.08,5.95%,30
002858,力盛体育,2025-12-15,14.69,15.6,5.83%,4
002925,盈趣科技,2025-12-15,17.98,20.22,11.08%,6
000566,海南海药,2025-12-15,7.43,8.7,14.60%,19
603858,步长制药,2025-12-12,16.39,18.32,10.53%,28
603041,美思德,2025-12-12,11.57,13.37,13.46%,28
000708,中信特钢,2025-12-15,15.11,15.95,5.27%,10
603279,景津装备,2025-12-12,15.13,17.3,12.54%,29
002753,永东股份,2025-12-15,7.14,8.23,13.24%,25
002817,黄山胶囊,2025-12-15,7.63,8.49,10.13%,28
600251,冠农股份,2025-12-15,8.43,9.34,9.74%,26
601319,中国人保,2025-12-12,8.55,8.91,4.04%,29
603528,多伦科技,2025-12-12,9.85,10.03,1.79%,4
000422,湖北宜化,2025-12-15,14.08,16.27,13.46%,25
002884,凌霄泵业,2025-12-15,17.66,17.87,1.18%,7
603018,华设集团,2025-12-12,7.28,7.94,8.31%,29
600088,中视传媒,2025-12-15,16.37,17.7,7.51%,14
600351,亚宝药业,2025-12-12,6.62,7.04,5.97%,28
600039,四川路桥,2025-12-15,10.12,10.25,1.27%,3
002889,东方嘉盛,2025-12-15,16.43,16.48,0.30%,6
002123,梦网科技,2025-12-15,12.26,12.56,2.39%,3
600784,鲁银投资,2025-12-12,6.47,6.91,6.37%,28
000035,中国天楹,2025-12-15,5.97,6.19,3.55%,7
603212,赛伍技术,2025-12-12,12.55,13.79,8.99%,4
002685,华东重机,2025-12-15,7.89,8.41,6.18%,5
002571,德力股份,2025-12-15,9.13,9.68,5.68%,5
002383,合众思壮,2025-12-15,9.91,10.06,1.49%,5
603221,爱丽家居,2025-12-12,12.52,12.93,3.17%,28
000157,中联重科,2025-12-15,8.57,8.67,1.15%,3
603282,亚光股份,2025-12-12,18.77,21.16,11.29%,24
000678,襄阳轴承,2025-12-15,15.39,15.51,0.77%,5
600860,京城股份,2025-12-12,12.74,13.44,5.21%,25
002966,苏州银行,2025-12-15,8.14,8.34,2.40%,14
002277,友阿股份,2025-12-15,7.03,7.3,3.70%,6
603309,维力医疗,2025-12-12,13.44,14.53,7.50%,30
600099,林海股份,2025-12-15,10.07,11.36,11.36%,28
002075,沙钢股份,2025-12-15,5.67,6.03,5.97%,18
002229,鸿博股份,2025-12-15,16.08,18.36,12.42%,6
002363,隆基机械,2025-12-15,8.34,9.49,12.12%,7
002429,兆驰股份,2025-12-15,6.88,7.32,6.01%,5
600707,彩虹股份,2025-12-12,6.4,6.63,3.47%,7
600872,中炬高新,2025-12-12,17.04,18.68,8.78%,29
603551,奥普科技,2025-12-12,12.35,12.79,3.44%,18
002802,洪汇新材,2025-12-15,12.27,13.92,11.85%,28
600697,欧亚集团,2025-12-12,12.68,14.31,11.39%,25
601528,瑞丰银行,2025-12-12,5.33,5.69,6.33%,28
600908,无锡银行,2025-12-12,5.92,6.24,5.13%,9
603359,东珠生态,2025-12-12,8.45,9.18,7.95%,3
600755,厦门国贸,2025-12-12,6.48,7.24,10.50%,2
600510,黑牡丹,2025-12-12,9.09,9.99,9.01%,29
000558,天府文旅,2025-12-15,5.26,6.05,13.06%,14
002029,七 匹 狼,2025-12-15,11.4,12.02,5.16%,5
603017,中衡设计,2025-12-12,10.8,11.9,9.24%,9
002743,富煌钢构,2025-12-15,5.3,5.88,9.86%,28
603209,兴通股份,2025-12-12,15.69,17.03,7.87%,4
000156,华数传媒,2025-12-15,7.42,8.2,9.51%,27
600189,泉阳泉,2025-12-15,7.12,7.65,6.93%,28
600006,东风股份,2025-12-15,7.1,8.12,12.56%,28
601169,北京银行,2025-12-12,5.52,5.82,5.15%,22
600768,宁波富邦,2025-12-12,12.77,13.84,7.73%,28
002268,电科网安,2025-12-15,18.19,18.72,2.83%,6
600246,万通发展,2025-12-15,12.2,13.95,12.54%,18
603758,秦安股份,2025-12-12,18.45,19.49,5.34%,2
002381,双箭股份,2025-12-15,6.51,7.11,8.44%,28
605069,正和生态,2025-12-12,9.46,10.94,13.53%,25
603318,水发燃气,2025-12-12,6.53,7.61,14.19%,28
603966,法兰泰克,2025-12-12,10.97,12.26,10.52%,25
600797,浙大网新,2025-12-12,10.13,11.39,11.06%,18
603310,巍华新材,2025-12-12,17.05,18.26,6.63%,29
600746,江苏索普,2025-12-12,6.67,7.74,13.82%,29
000065,北方国际,2025-12-15,12.6,13.04,3.37%,19
603499,翔港科技,2025-12-11,19.51,21.17,7.84%,13
600328,中盐化工,2025-12-12,7.77,9.01,13.76%,23
002343,慈文传媒,2025-12-15,7.97,8.53,6.57%,5
002809,红墙股份,2025-12-15,10.48,12.0,12.67%,28
600198,大唐电信,2025-12-15,8.6,8.9,3.37%,4
600830,香溢融通,2025-12-12,9.23,10.41,11.34%,29
603956,威派格,2025-12-12,6.25,7.0,10.71%,18
001338,永顺泰,2025-12-15,12.3,12.37,0.57%,28
002164,宁波东力,2025-12-15,16.69,16.93,1.42%,4
603919,金徽酒,2025-12-12,19.63,21.4,8.27%,29
000061,农 产 品,2025-12-15,10.15,10.29,1.36%,27
603206,嘉环科技,2025-12-12,16.92,17.05,0.76%,10
000039,中集集团,2025-12-15,9.17,9.5,3.47%,7
600969,郴电国际,2025-12-12,9.56,9.8,2.45%,2
603727,博迈科,2025-12-12,14.28,15.69,8.99%,11
603801,志邦家居,2025-12-12,9.12,9.63,5.30%,29
000917,电广传媒,2025-12-15,8.97,9.4,4.57%,5
000702,正虹科技,2025-12-15,6.65,7.65,13.07%,28
002072,凯瑞德,2025-12-15,7.33,8.0,8.38%,27
600223,福瑞达,2025-12-15,7.35,8.22,10.58%,26
002449,国星光电,2025-12-15,8.42,9.06,7.06%,14
603060,国检集团,2025-12-12,6.04,6.77,10.78%,25
002209,达 意 隆,2025-12-15,15.5,16.03,3.31%,11
603466,风语筑,2025-12-11,9.29,10.4,10.67%,17
601963,重庆银行,2025-12-11,10.91,11.59,5.87%,8
002861,瀛通通讯,2025-12-15,18.73,21.27,11.94%,13
600283,钱江水利,2025-12-12,9.13,9.91,7.87%,29
603172,万丰股份,2025-12-12,17.41,19.58,11.08%,30
002107,沃华医药,2025-12-15,6.17,7.15,13.71%,11
600589,大位科技,2025-12-12,7.21,8.03,10.21%,11
600127,金健米业,2025-12-15,6.97,7.23,3.60%,21
600713,南京医药,2025-12-12,5.07,5.33,4.88%,28
600828,茂业商业,2025-12-12,6.44,7.16,10.06%,1
000788,北大医药,2025-12-15,6.51,7.52,13.43%,11
001313,粤海饲料,2025-12-15,8.31,8.89,6.52%,7
000425,徐工机械,2025-12-15,11.25,11.31,0.53%,3
002351,漫步者,2025-12-15,12.28,13.08,6.12%,14
605007,五洲特纸,2025-12-12,11.53,12.33,6.49%,29
002729,好利科技,2025-12-15,16.22,17.86,9.18%,7
000589,贵州轮胎,2025-12-15,5.03,5.2,3.27%,10
002698,博实股份,2025-12-15,16.4,16.83,2.55%,3
003003,天元股份,2025-12-15,13.25,14.44,8.24%,14
002427,尤夫股份,2025-12-15,6.22,7.19,13.49%,28
000571,新大洲A,2025-12-15,6.19,7.01,11.70%,7
603700,宁水集团,2025-12-12,12.54,13.31,5.79%,25
002596,海南瑞泽,2025-12-15,6.17,6.69,7.77%,14
600929,雪天盐业,2025-12-12,5.78,6.32,8.54%,25
600966,博汇纸业,2025-12-12,5.87,6.44,8.85%,11
001322,箭牌家居,2025-12-15,8.33,8.86,5.98%,21
000610,西安旅游,2025-12-15,12.33,12.93,4.64%,12
600838,上海九百,2025-12-12,8.5,9.27,8.31%,11
600155,华创云信,2025-12-15,6.84,7.73,11.51%,27
002883,中设股份,2025-12-15,10.8,12.16,11.18%,28
600299,安迪苏,2025-12-12,8.84,9.72,9.05%,29
600774,汉商集团,2025-12-12,9.0,10.34,12.96%,28
600965,福成股份,2025-12-12,5.32,6.06,12.21%,22
605158,华达新材,2025-12-12,7.84,8.92,12.11%,28
002491,通鼎互联,2025-12-15,5.7,5.88,3.06%,4
601155,新城控股,2025-12-12,13.8,15.53,11.14%,22
600858,银座股份,2025-12-12,6.14,6.23,1.44%,1
603137,恒尚节能,2025-12-12,13.88,15.24,8.92%,24
002671,龙泉股份,2025-12-15,5.2,5.94,12.46%,11
000019,深粮控股,2025-12-15,6.94,7.71,9.99%,21
000863,三湘印象,2025-12-15,5.09,5.28,3.60%,14
002515,金字火腿,2025-12-15,6.49,7.06,8.07%,6
600628,新世界,2025-12-12,7.4,7.95,6.92%,10
603022,新通联,2025-12-12,9.58,10.89,12.03%,25
603001,奥康国际,2025-12-12,8.59,10.0,14.10%,14
603168,莎普爱思,2025-12-12,7.66,8.48,9.67%,28
601288,农业银行,2025-12-12,7.72,8.59,10.13%,30
002825,纳尔股份,2025-12-15,12.09,12.15,0.49%,6
601229,上海银行,2025-12-12,9.73,10.25,5.07%,28
600616,金枫酒业,2025-12-12,5.27,5.94,11.28%,29
002836,新宏泽,2025-12-15,15.59,17.63,11.57%,5
002026,山东威达,2025-12-15,14.08,16.49,14.61%,10
603330,天洋新材,2025-12-12,7.44,8.6,13.49%,29
002681,奋达科技,2025-12-15,6.66,7.56,11.90%,14
002642,荣联科技,2025-12-15,8.11,9.49,14.54%,19
000529,广弘控股,2025-12-15,6.02,6.36,5.35%,13
601007,金陵饭店,2025-12-12,7.64,8.0,4.50%,2
603730,岱美股份,2025-12-12,7.83,8.38,6.56%,16
600679,上海凤凰,2025-12-12,13.93,14.78,5.75%,2
002144,宏达高科,2025-12-15,12.48,14.41,13.39%,27
603112,华翔股份,2025-12-12,18.33,19.36,5.32%,2
002722,物产金轮,2025-12-15,14.99,16.79,10.72%,27
600063,皖维高新,2025-12-15,6.1,6.99,12.73%,28
603779,威龙股份,2025-12-12,6.41,7.44,13.84%,25
600880,博瑞传播,2025-12-12,5.03,5.48,8.21%,16
003039,顺控发展,2025-12-15,14.32,14.54,1.51%,3
605300,佳禾食品,2025-12-12,11.76,12.82,8.27%,25
000411,英特集团,2025-12-15,11.79,12.93,8.82%,12
000042,中洲控股,2025-12-15,7.77,8.32,6.61%,12
603027,千禾味业,2025-12-12,9.2,9.97,7.72%,29
000953,河化股份,2025-12-15,7.91,8.15,2.94%,5
603703,盛洋科技,2025-12-12,12.82,13.15,2.51%,2
601233,桐昆股份,2025-12-12,14.25,15.99,10.88%,29
002508,老板电器,2025-12-15,19.82,20.66,4.07%,13
600814,杭州解百,2025-12-12,7.71,7.91,2.53%,9
603515,欧普照明,2025-12-12,17.7,18.3,3.28%,2
600736,苏州高新,2025-12-12,5.95,6.13,2.94%,25
603332,苏州龙杰,2025-12-12,12.13,14.11,14.03%,28
