code,buy_date,sell_date,return
002284,2020-02-21,2020-03-09,-0.046370967741935394
002284,2020-05-11,2020-05-22,-0.08264462809917344
002284,2020-07-02,2020-07-24,0.033613445378151294
002284,2020-08-12,2020-08-20,-0.055147058823529535
002284,2020-12-21,2021-01-06,-0.04159999999999996
002284,2021-05-14,2021-05-19,-0.05923836389280676
002284,2021-08-05,2021-08-19,-0.05569620253164562
002284,2021-08-24,2021-09-03,-0.04460093896713604
002284,2021-12-31,2022-01-13,-0.024606299212598423
002284,2023-01-06,2023-02-05,0.07671957671957685
002284,2023-04-03,2023-04-06,-0.040506329113924086
002284,2023-04-17,2023-04-21,-0.05484693877551017
002284,2023-06-13,2023-07-13,0.25822168087697916
002284,2024-04-29,2024-05-23,-0.05684754521963829
002284,2024-07-15,2024-07-24,-0.07340720221606639
002284,2024-09-24,2024-10-24,0.11142061281337058
002284,2024-12-05,2024-12-17,-0.04342723004694827
002284,2025-10-27,2025-11-10,-0.04802867383512544
600058,2020-08-05,2020-08-07,-0.01985815602836875
600058,2021-01-25,2021-01-28,-0.03506311360448808
600058,2021-04-09,2021-04-15,-0.056338028169014134
600058,2021-05-11,2021-06-02,-0.049327354260089634
600058,2022-02-09,2022-03-08,-0.0010752688172044691
600058,2022-08-18,2022-08-24,-0.05935613682092554
600058,2023-01-16,2023-02-15,0.07336343115124158
600058,2023-03-28,2023-04-20,-0.038085937500000056
600058,2023-05-08,2023-05-18,-0.02564102564102562
600058,2023-09-04,2023-09-26,-0.013278855975485088
000560,2020-07-06,2020-08-05,0.2837837837837837
000560,2020-10-16,2020-10-27,-0.06801007556675064
000560,2021-01-21,2021-01-28,-0.07600950118764842
000560,2022-02-11,2022-02-15,-0.03715170278637774
000560,2022-03-21,2022-04-13,0.048338368580060465
000560,2023-01-09,2023-01-12,-0.015209125475285185
000560,2023-08-31,2023-09-12,-0.05660377358490571
000560,2024-07-16,2024-07-24,-0.040485829959514205
000560,2024-07-31,2024-08-19,-0.08214285714285714
000560,2024-09-18,2024-10-18,0.26296296296296295
000560,2024-11-05,2024-11-15,-0.05420054200541998
000560,2024-12-05,2024-12-16,-0.07989690721649487
000560,2025-07-07,2025-07-18,-0.009836065573770428
603124,2025-11-10,2025-11-12,-0.08008030336828009
600644,2020-05-06,2020-05-21,-0.015594541910331399
600644,2020-07-06,2020-07-24,-0.020484171322160207
600644,2021-05-20,2021-06-10,0.055147058823529375
600644,2021-08-12,2021-09-11,0.12274368231046927
600644,2022-07-04,2022-07-26,-0.0060331825037707445
600644,2022-08-16,2022-08-30,-0.06483790523690768
600644,2022-10-21,2022-10-28,-0.07829670329670334
600644,2022-11-08,2022-12-06,0.006578947368421147
600644,2022-12-21,2022-12-22,-0.058312655086848714
600644,2023-01-03,2023-01-10,-0.03241895261845384
600644,2023-01-30,2023-02-16,-0.006273525721455436
600644,2023-06-26,2023-07-13,-0.04230769230769232
600644,2023-12-13,2023-12-19,-0.012693935119887145
600644,2024-01-03,2024-01-08,-0.034387895460797804
600644,2025-07-07,2025-07-15,-0.13768545994065293
603613,2020-02-10,2020-03-11,0.37348734873487344
603613,2020-05-14,2020-05-20,-0.0841622035195103
603613,2020-07-10,2020-07-16,-0.09548387096774197
603613,2020-09-02,2020-09-09,-0.10524438102033545
603613,2020-12-03,2021-01-02,0.39844804318488536
603613,2021-04-19,2021-04-22,-0.024864187212703674
603613,2021-07-01,2021-07-22,-0.04209306815987642
603613,2021-08-20,2021-09-19,0.10868661679135504
603613,2021-11-16,2021-12-01,-0.06546700942587833
603613,2023-03-27,2023-04-03,-0.07263339070567984
603613,2024-04-29,2024-05-20,-0.022250748823277686
603613,2024-11-08,2024-11-18,-0.0019297568506368471
603613,2024-12-12,2024-12-31,-0.03809869375907102
603613,2025-03-12,2025-03-21,-0.07204230006609395
603613,2025-08-18,2025-09-17,0.3100902378999181
600141,2020-02-18,2020-02-28,-0.02890173410404627
600141,2020-10-14,2020-11-13,0.22509702457956016
600141,2021-01-11,2021-02-05,0.005847953216374144
600141,2021-03-04,2021-03-05,-0.05009276437847859
600141,2021-05-10,2021-06-09,0.28304947283049475
600141,2021-10-22,2021-11-03,-0.09192825112107626
600141,2021-12-13,2021-12-20,-0.09961290322580643
600141,2022-04-11,2022-04-21,-0.13429394812680126
600141,2023-02-22,2023-03-10,-0.036628849270664586
600141,2024-04-03,2024-05-03,0.06353443673251474
600141,2024-09-27,2024-10-27,0.12462006079027362
600141,2025-08-21,2025-09-18,0.04548959136468773
600141,2025-10-09,2025-10-16,-0.08456375838926172
002196,2020-02-19,2020-02-28,-0.04051565377532224
002196,2020-09-16,2020-09-25,-0.038532110091743114
002196,2020-10-13,2020-11-10,0.1344827586206897
002196,2021-01-05,2021-01-08,-0.08585247883917775
002196,2021-04-20,2021-04-21,-0.029661016949152536
002196,2021-06-28,2021-07-01,-0.1116173120728929
002196,2021-07-08,2021-07-28,0.04817861339600472
002196,2021-08-31,2021-09-06,-0.0648967551622419
002196,2021-12-30,2022-01-11,-0.09005947323704322
002196,2022-07-18,2022-08-04,-0.026926648096564452
002196,2022-08-22,2022-08-24,-0.04591368227731864
002196,2023-09-04,2023-09-07,-0.03134328358208954
002196,2025-07-14,2025-07-23,-0.061909758656873023
002196,2025-09-12,2025-10-12,0.04685835995740144
002196,2025-10-30,2025-11-24,0.17932296431838984
000906,2020-03-06,2020-03-09,-0.06084656084656084
000906,2020-09-01,2020-09-22,-0.04387568555758672
000906,2020-10-23,2020-11-13,-0.00925925925925939
000906,2022-03-03,2022-03-07,-0.042056074766355075
000906,2022-03-31,2022-04-14,-0.055662188099808066
000906,2023-04-10,2023-05-10,0.11771844660194182
000906,2024-04-08,2024-04-16,-0.026573426573426626
000906,2024-05-06,2024-05-29,0.008185538881309632
000906,2025-02-12,2025-02-28,-0.040783034257748776
000906,2025-06-27,2025-07-27,0.04874213836477981
000906,2025-08-20,2025-08-25,-0.023809523809523832
603369,2020-03-06,2020-03-09,-0.05370569280343716
603369,2020-06-24,2020-07-24,0.11424375917767991
603369,2020-08-13,2020-09-08,0.08279800142755167
603369,2020-11-10,2020-11-13,-0.06661379857256144
603369,2021-02-05,2021-02-08,-0.047316384180790955
603369,2021-07-08,2021-07-23,-0.12297273213330955
603369,2021-12-09,2021-12-16,-0.007607317514942976
603369,2022-08-01,2022-08-18,-0.022354014598540237
603369,2023-03-28,2023-04-11,-0.060183666775992045
603369,2023-08-29,2023-09-15,0.0022290809327846803
603369,2024-11-08,2024-11-15,-0.02505940807949874
000717,2020-01-02,2020-01-03,-0.026190476190476264
000717,2020-07-03,2020-07-24,0.07608695652173908
000717,2021-04-01,2021-04-29,0.00856531049250536
000717,2021-05-10,2021-05-17,-0.0827067669172933
000717,2021-06-08,2021-06-22,-0.06776180698151953
000717,2022-02-11,2022-02-14,-0.02407002188183814
000717,2022-03-03,2022-03-08,-0.07051282051282053
000717,2023-07-05,2023-08-04,0.09507042253521128
000717,2024-12-05,2024-12-23,-0.03481012658227858
000717,2025-09-11,2025-09-19,-0.020833333333333353
002880,2020-03-25,2020-04-24,0.04998387616897777
002880,2020-05-20,2020-06-19,0.266496018202503
002880,2020-07-30,2020-08-10,-0.07180960196963479
002880,2022-08-23,2022-08-24,-0.0255795363709033
002880,2022-08-26,2022-08-29,-0.023255813953488445
002880,2023-01-03,2023-01-11,-0.06799493991144852
002880,2023-03-01,2023-03-07,-0.03492276695768982
002880,2023-05-17,2023-06-16,0.2644036125817503
002880,2024-12-12,2024-12-18,-0.028995279838165862
002880,2025-05-20,2025-05-23,-0.039229181004817516
002880,2025-07-02,2025-08-01,0.024652777777777808
002432,2020-05-08,2020-05-18,-0.09035222052067379
002432,2020-08-31,2020-09-07,-0.12232779097387177
002432,2022-03-21,2022-03-22,-0.06875631951466137
002432,2022-06-22,2022-06-27,-0.06738156209987187
002432,2022-11-15,2022-11-16,-0.025348015790567335
