code,buy_date,sell_date,return
603613,2020-02-10,2020-03-11,0.37348734873487344
603613,2020-05-14,2020-05-20,-0.0841622035195103
603613,2020-07-10,2020-07-16,-0.09548387096774197
603613,2021-04-19,2021-04-22,-0.024864187212703674
603613,2021-07-01,2021-07-22,-0.04209306815987642
603613,2023-03-27,2023-04-03,-0.07263339070567984
603613,2023-06-09,2023-06-28,-0.01883187772925758
603613,2024-11-08,2024-11-18,-0.0019297568506368471
603613,2025-03-12,2025-03-21,-0.07204230006609395
603613,2025-08-18,2025-09-17,0.3100902378999181
002284,2020-07-02,2020-07-24,0.033613445378151294
002284,2020-12-21,2021-01-06,-0.04159999999999996
002284,2021-03-17,2021-03-18,-0.013806706114398477
002284,2021-04-08,2021-05-07,0.18489065606361824
002284,2021-08-24,2021-09-03,-0.04460093896713604
002284,2023-04-17,2023-04-21,-0.05484693877551017
002284,2023-06-13,2023-07-13,0.25822168087697916
002284,2023-10-12,2023-10-19,-0.058408862034239686
002284,2023-11-07,2023-11-09,-0.045226130653266264
002284,2024-04-29,2024-05-23,-0.05684754521963829
002284,2024-07-15,2024-07-24,-0.07340720221606639
002284,2024-09-24,2024-10-24,0.11142061281337058
002284,2024-12-05,2024-12-17,-0.04342723004694827
002284,2025-10-27,2025-11-10,-0.04802867383512544
000906,2020-03-06,2020-03-09,-0.06084656084656084
000906,2020-09-01,2020-09-22,-0.04387568555758672
000906,2021-02-19,2021-03-21,0.05197505197505198
000906,2022-03-03,2022-03-07,-0.042056074766355075
000906,2024-04-08,2024-04-16,-0.026573426573426626
000906,2024-05-06,2024-05-29,0.008185538881309632
000906,2025-02-12,2025-02-28,-0.040783034257748776
000906,2025-03-10,2025-03-24,-0.008237232289950693
000906,2025-06-27,2025-07-27,0.04874213836477981
000906,2025-10-10,2025-10-17,-0.01762820512820518
000906,2025-11-07,2025-11-18,-0.019047619047619067
600141,2020-06-02,2020-06-11,-0.054700854700854604
600141,2020-06-22,2020-06-29,-0.031634446397188154
600141,2021-03-04,2021-03-05,-0.05009276437847859
600141,2021-05-10,2021-06-09,0.28304947283049475
600141,2023-02-22,2023-03-10,-0.036628849270664586
600141,2024-08-26,2024-09-12,-0.005199306759098779
600141,2024-09-27,2024-10-27,0.12462006079027362
