Code,Name,Gain_20D_Pct,High_Price,Latest_Close,Drop_Pct
002759,天际股份,52.63,36.70,32.27,12.07
600734,实达集团,92.31,7.25,5.66,21.93
002474,榕基软件,76.45,12.17,10.40,14.54
600829,人民同泰,57.65,13.97,11.55,17.32
002321,华英农业,60.83,2.73,2.40,12.09
603778,国晟科技,96.01,14.23,12.50,12.16
603933,睿能科技,78.26,32.55,25.53,21.57
605399,晨光新材,44.90,15.18,13.44,11.46
000632,三木集团,57.94,8.13,6.11,24.85
002632,道明光学,73.40,16.53,13.03,21.17
603122,合富中国,55.18,29.50,25.26,14.37
000753,漳州发展,47.01,9.42,8.42,10.62
603978,深圳新星,46.91,29.30,26.14,10.78
600408,安泰集团,59.35,5.37,4.57,14.90
600828,茂业商业,93.10,7.84,6.44,17.86
000572,海马汽车,42.37,10.71,9.16,14.47
002596,海南瑞泽,55.05,7.05,6.33,10.21
002136,安 纳 达,57.09,12.89,11.58,10.16
002702,海欣食品,126.21,11.22,8.09,27.90
002240,盛新锂能,42.81,33.68,29.99,10.96
003018,金富科技,114.36,21.43,18.50,13.67
002589,瑞康医药,66.31,4.69,3.51,25.16
002725,跃岭股份,54.41,21.20,19.08,10.00
002326,永太科技,52.21,24.88,22.02,11.50
002963,豪尔赛,44.58,16.10,14.25,11.49
002689,远大智能,52.04,3.69,3.20,13.28
002083,孚日股份,55.05,11.49,10.27,10.62
002578,闽发铝业,46.38,5.46,4.47,18.13
603667,五洲新春,40.76,57.57,50.98,11.45
003016,欣贺股份,54.47,12.79,10.36,19.00
000798,中水渔业,61.01,12.65,11.17,11.70
603815,交建股份,57.88,10.87,8.42,22.54
603386,骏亚科技,71.78,20.15,16.45,18.36
002792,通宇通讯,93.78,33.00,29.10,11.82
600191,华资实业,40.02,13.12,11.80,10.06
000823,超声电子,40.58,16.35,13.94,14.74
000593,德龙汇能,49.01,12.91,10.92,15.41
002667,威领股份,41.18,15.55,13.99,10.03
002679,福建金森,43.63,16.32,13.04,20.10
600802,福建水泥,43.40,9.12,7.46,18.20
600222,太龙药业,40.06,9.44,7.12,24.58
002163,海南发展,45.54,18.92,16.78,11.31
000070,特发信息,72.52,15.82,13.02,17.70
002830,名雕股份,41.67,24.58,18.70,23.92
603327,福蓉科技,66.56,14.94,12.75,14.66
002585,双星新材,44.75,7.86,6.50,17.30
000695,滨海能源,52.17,14.40,12.70,11.81
600280,中央商场,43.20,4.71,3.98,15.50
002407,多氟多,45.65,33.19,29.44,11.30
603353,和顺石油,43.13,34.39,29.68,13.70
605299,舒华体育,79.50,17.25,12.31,28.64
002752,昇兴股份,58.44,9.57,7.56,21.00
000797,中国武夷,48.48,4.72,3.74,20.76
000952,广济药业,47.18,8.85,7.43,16.05
605178,时空科技,69.59,59.73,52.25,12.52
600592,龙溪股份,40.08,30.44,26.79,11.99
603696,安记食品,128.98,25.92,20.07,22.57
000078,海王生物,132.65,5.70,4.09,28.25
002105,信隆健康,50.15,10.30,7.70,25.24
600897,厦门空港,43.66,22.44,17.80,20.68
000620,盈新发展,54.34,3.28,2.69,17.99
002279,久其软件,47.95,8.82,7.92,10.20
600033,福建高速,40.73,5.01,4.16,16.97
002512,达华智能,77.71,8.37,6.69,20.07
002264,新 华 都,62.60,10.67,8.83,17.24
600981,苏豪汇鸿,49.09,3.95,3.40,13.92
000905,厦门港务,71.72,17.00,13.88,18.35
601279,英利汽车,43.24,5.55,4.90,11.71
600815,厦工股份,42.03,4.59,4.01,12.64
002961,瑞达期货,55.64,32.28,28.66,11.21
603023,威帝股份,47.87,5.90,4.67,20.85
600556,天下秀,40.18,6.39,5.71,10.64
002235,安妮股份,93.78,14.34,12.85,10.39
600184,光电股份,42.64,23.25,20.37,12.39
