Code,Name,Gain_20D_Pct,High_Price,Latest_Close,Drop_Pct
600734,实达集团,50.10,7.25,5.66,21.93
603933,睿能科技,77.87,32.55,25.53,21.57
002632,道明光学,72.86,16.53,13.03,21.17
600828,茂业商业,91.22,7.84,6.44,17.86
002702,海欣食品,125.30,11.22,8.09,27.90
003016,欣贺股份,54.47,12.79,10.36,19.00
603815,交建股份,57.88,10.87,8.42,22.54
603386,骏亚科技,70.04,20.15,16.45,18.36
605299,舒华体育,77.47,17.25,12.31,28.64
002752,昇兴股份,58.44,9.57,7.56,21.00
603696,安记食品,128.98,25.92,20.07,22.57
002105,信隆健康,50.15,10.30,7.70,25.24
002512,达华智能,77.71,8.37,6.69,20.07
000905,厦门港务,71.72,17.00,13.88,18.35
