Code,Name,Gain_20D_Pct,High_Price,Latest_Close,Drop_Pct
600734,实达集团,50.10,7.25,5.85,19.31
603778,国晟科技,70.83,14.23,11.62,18.34
603933,睿能科技,74.44,29.84,25.07,15.99
002632,道明光学,69.15,16.53,12.73,22.99
600828,茂业商业,88.46,7.84,6.52,16.84
002702,海欣食品,123.51,11.22,8.53,23.98
603709,中源家居,76.80,26.22,22.07,15.83
002725,跃岭股份,50.68,21.20,17.17,19.01
603386,骏亚科技,67.50,20.15,15.00,25.56
603327,福蓉科技,54.02,14.94,11.89,20.41
605299,舒华体育,74.77,17.25,12.00,30.43
603696,安记食品,126.18,25.92,20.58,20.60
000905,厦门港务,69.49,17.00,14.15,16.76
