code,name,Strategy_Type,Close,TurnoverRate,RSI6,KDJ_J,Breakout_Pattern,Limit_Up_Today,Final_Score,Strategy_Rank
600721,百花医药,A_Strong_Pullback (中风险接力),10.45,12.07,57.7736882388847,38.10268884360005,False,False,7.824920778716469,1
605339,南侨食品,A_Strong_Pullback (中风险接力),21.67,4.61,64.23130587234535,71.08988069632208,False,False,5.024034788624134,1
605005,合兴股份,A_Strong_Pullback (中风险接力),19.66,2.68,64.56036703703158,41.089560719684584,False,False,1.6796736764233446,1
601366,利群股份,B_Low_Position_Start (低风险埋伏),4.99,7.99,79.1078972242718,72.22222222222221,True,True,632.0720988219317,2
600113,浙江东日,E_Leader_Restart (二次启动),61.5,4.53,68.71830887193546,83.63407951626425,False,False,529.199696622775,3
