code,name,Strategy_Type,Close,TurnoverRate,RSI6,KDJ_J,Breakout_Pattern,Limit_Up_Today,Final_Score,Strategy_Rank
002752,昇兴股份,A_Strong_Pullback (中风险接力),8.18,18.17,62.83733103170907,28.359009335730605,False,False,8.07181615055735,1
600212,绿能慧充,B_Low_Position_Start (低风险埋伏),8.61,5.51,67.58560712649368,48.76212929901662,False,False,372.3966952669802,2
002827,高争民爆,B_Low_Position_Start (低风险埋伏),36.39,3.29,67.48750157598836,62.65086027894395,False,False,222.03388018500172,2
603031,安孚科技,E_Leader_Restart (二次启动),42.8,15.26,68.0960329564528,73.02806570038857,False,False,1766.5472869562986,3
600990,四创电子,E_Leader_Restart (二次启动),30.4,14.61,69.29187162360162,77.64447850229661,False,False,1721.0022155153933,3
