code,name,Strategy_Type,Close,TurnoverRate,RSI6,KDJ_J,Breakout_Pattern,Limit_Up_Today,Final_Score,Strategy_Rank
002579,中京电子,A_Strong_Pullback (中风险接力),12.25,11.03,64.19681268174607,66.53606581525653,False,False,11.256574911487297,1
601599,浙文影业,A_Strong_Pullback (中风险接力),3.92,4.9,64.69411765675561,63.83707954726603,False,False,4.761487039310845,1
000913,钱江摩托,B_Low_Position_Start (低风险埋伏),15.73,2.24,67.21787454083731,83.40817978738293,False,False,150.5680389714756,2
002560,通达股份,E_Leader_Restart (二次启动),10.33,25.58,67.84586999062621,86.14566719829887,False,False,2950.3455024123714,3
002201,九鼎新材,E_Leader_Restart (二次启动),11.21,25.66,67.53265489624896,76.40632264063225,False,False,2945.909471884172,3
002081,金 螳 螂,E_Leader_Restart (二次启动),3.54,6.98,73.25369765138169,87.90123456790133,False,False,869.2283763312951,3
603607,京华激光,D_Strong_Breakout (高风险追涨/优化),27.14,7.8,72.10603524771535,86.0191120607787,True,False,618.6697824253978,4
