code,name,mode,Close,MA30_Value,Vol_Ratio,MACD_Signal,Stop_Loss,Take_Profit
002666,德联集团,模式一：底部反转启动型 (买入机会),5.48,5.27,1.32,Golden Cross,5.17,5.75
002803,吉宏股份,模式一：底部反转启动型 (买入机会),16.62,16.19,1.71,Golden Cross,15.87,17.45
000981,山子高科,模式一：底部反转启动型 (买入机会),3.32,3.32,2.15,Golden Cross,3.25,3.49
002014,永新股份,模式三：高风险预警型 (提前跑路),11.88,11.58,1.55,No Cross,11.35,12.47
002501,利源股份,模式一：底部反转启动型 (买入机会),2.39,2.30,2.46,Golden Cross,2.25,2.51
000069,华侨城Ａ,模式一：底部反转启动型 (买入机会),2.67,2.65,1.87,Golden Cross,2.59,2.80
600712,南宁百货,模式一：底部反转启动型 (买入机会),7.15,7.07,1.64,Golden Cross,6.93,7.51
600108,亚盛集团,模式一：底部反转启动型 (买入机会),3.30,3.15,2.44,Golden Cross,3.09,3.46
000523,红棉股份,模式一：底部反转启动型 (买入机会),3.73,3.42,1.69,Golden Cross,3.35,3.92
600076,康欣新材,模式一：底部反转启动型 (买入机会),3.15,2.95,3.16,Golden Cross,2.89,3.31
002373,千方科技,模式一：底部反转启动型 (买入机会),11.20,11.05,2.06,Golden Cross,10.83,11.76
000428,华天酒店,模式一：底部反转启动型 (买入机会),3.64,3.43,1.53,Golden Cross,3.36,3.82
600620,天宸股份,模式一：底部反转启动型 (买入机会),6.62,6.31,1.81,Golden Cross,6.19,6.95
