code,name,mode,Close,MA30_Value,Vol_Ratio,MACD_Signal,Stop_Loss,Take_Profit
002100,天康生物,模式一：底部反转启动型 (买入机会),7.34,7.28,2.37,Golden Cross,7.14,7.71
600234,科新发展,模式一：底部反转启动型 (买入机会),12.55,11.89,1.91,Golden Cross,11.65,13.18
601366,利群股份,模式一：底部反转启动型 (买入机会),4.99,4.63,2.28,Golden Cross,4.54,5.24
