Code,Name,Latest Close
002594,比亚迪,97.00
603202,天有为,93.50
002706,良信股份,9.98
000721,西安饮食,9.89
605055,迎丰股份,9.80
600192,长城电工,9.78
002233,塔牌集团,9.56
600101,明星电力,9.31
603058,永吉股份,9.20
601179,中国西电,9.08
000881,中广核技,9.02
605123,派克新材,87.15
002384,东山精密,84.86
600237,铜峰电子,8.99
600867,通化东宝,8.86
601727,上海电气,8.85
000533,顺钠股份,8.72
601298,青岛港,8.66
603601,再升科技,8.43
601111,中国国航,8.37
603421,鼎信通讯,8.34
002478,常宝股份,8.33
000543,皖能电力,8.29
000936,华西股份,8.19
002617,露笑科技,8.14
603333,尚纬股份,8.12
002452,长高电新,8.10
603091,众鑫股份,76.80
600348,华阳股份,7.99
002121,科陆电子,7.90
002366,融发核电,7.79
601318,中国平安,63.91
600363,联创光电,60.06
000803,山高环能,6.95
600930,华电新能,6.78
002361,神剑股份,6.78
600468,百利电气,6.67
600744,华银电力,6.28
000862,银星能源,6.20
000950,重药控股,6.17
600858,银座股份,6.14
601636,旗滨集团,6.10
601107,四川成渝,6.06
002625,光启技术,52.20
002701,奥瑞金,5.93
000875,吉电股份,5.67
002358,森源电气,5.61
601700,风范股份,5.60
601933,永辉超市,5.55
002471,中超控股,5.31
002692,远程股份,5.31
002131,利欧股份,5.21
600800,渤海化学,5.05
002230,科大讯飞,49.70
603699,纽威股份,49.19
001395,亚联机械,44.84
603031,安孚科技,44.19
001226,拓山重工,43.02
001317,三羊马,42.97
603173,福斯达,42.79
603530,神马电力,42.74
600895,张江高科,40.69
002865,钧达股份,40.33
001215,千味央厨,38.55
605090,九丰能源,37.86
605358,立昂微,37.29
002126,银轮股份,35.19
002933,新兴装备,34.84
603556,海兴电力,34.44
603992,松霖科技,33.37
002971,和远气体,32.95
603063,禾望电气,31.14
002430,杭氧股份,30.58
600378,昊华科技,30.55
002912,中新赛克,30.17
600323,瀚蓝环境,29.93
000962,东方钽业,29.70
003002,壶化股份,29.43
601877,正泰电器,28.87
002985,北摩高科,28.60
603344,星德胜,28.42
603262,技源集团,28.17
002130,沃尔核材,28.04
002128,电投能源,27.93
600566,济川药业,27.77
002885,京泉华,27.51
601069,西部黄金,27.48
603016,新宏泰,27.05
600850,电科数字,26.82
000400,许继电气,26.73
600332,白云山,26.03
002318,久立特材,25.86
002989,中天精装,25.77
002270,华明装备,25.36
603011,合锻智能,24.82
600750,江中药业,24.38
601567,三星医疗,24.17
600875,东方电气,24.05
002134,天津普林,23.91
600089,特变电工,23.81
603611,诺力股份,23.44
600406,国电南瑞,23.22
601633,长城汽车,22.69
600803,新奥股份,21.85
000777,中核科技,21.82
002862,实丰文化,21.79
601579,会稽山,21.62
600619,海立股份,21.11
002767,先锋电子,21.06
603610,麒盛科技,20.99
000969,安泰科技,20.83
001382,新亚电缆,20.72
600741,华域汽车,20.00
600444,国机通用,19.98
601702,华峰铝业,19.20
002725,跃岭股份,19.08
603893,瑞芯微,185.50
002104,恒宝股份,18.60
600475,华光环能,18.44
002782,可立克,18.43
600312,平高电气,18.37
601607,上海医药,18.05
000801,四川九洲,17.85
605222,起帆电缆,17.75
600522,中天科技,17.69
002879,长缆科技,17.58
002946,新乳业,17.30
600353,旭光电子,17.23
002534,西子洁能,17.05
002202,金风科技,16.98
002698,博实股份,16.83
002552,宝鼎科技,16.82
002735,王子新材,16.32
002853,皮阿诺,16.24
603766,隆鑫通用,16.17
002438,江苏神通,16.12
603679,华体科技,16.09
603315,福鞍股份,15.79
600104,上汽集团,15.72
603191,望变电气,15.18
601133,柏诚股份,15.00
601919,中远海控,14.98
600693,东百集团,14.90
603506,南都物业,14.86
001376,百通能源,14.70
600678,四川金顶,14.14
002139,拓邦股份,13.83
002112,三变科技,13.61
603269,海鸥股份,13.55
002255,海陆重工,13.30
603230,内蒙新华,13.29
000506,招金黄金,13.26
002271,东方雨虹,13.19
000922,佳电股份,13.15
603081,大丰实业,13.04
601611,中国核建,13.01
002345,潮宏基,13.00
601799,星宇股份,127.06
002235,安妮股份,12.85
002533,金杯电工,12.73
600995,南网储能,12.59
002123,梦网科技,12.56
603221,爱丽家居,12.52
002920,德赛西威,113.51
002579,中京电子,11.89
600865,百大集团,11.88
603136,天目湖,11.86
600379,宝光股份,11.85
002448,中原内配,11.76
600577,精达股份,11.70
600000,浦发银行,11.61
000551,创元科技,11.50
600268,国电南自,10.97
603085,天成自控,10.96
601456,国联民生,10.89
605167,利柏特,10.85
000829,天音控股,10.78
600644,乐山电力,10.50
601369,陕鼓动力,10.35
603169,兰石重装,10.28
600550,保变电气,10.25
600039,四川路桥,10.25
