Code,Name,Latest Close
603290,斯达半导,98.18
002594,比亚迪,97.00
002821,凯莱英,94.08
603202,天有为,93.50
603236,移远通信,92.71
002706,良信股份,9.98
000721,西安饮食,9.89
605055,迎丰股份,9.80
600192,长城电工,9.78
603135,中重科技,9.68
603105,芯能科技,9.68
600452,涪陵电力,9.58
002233,塔牌集团,9.56
002584,西陇科学,9.35
600101,明星电力,9.31
603058,永吉股份,9.20
601179,中国西电,9.08
601798,蓝科高新,9.04
000881,中广核技,9.02
603929,亚翔集成,89.19
002595,豪迈科技,88.19
605123,派克新材,87.15
002384,东山精密,84.86
600237,铜峰电子,8.99
002339,积成电子,8.87
600867,通化东宝,8.86
601727,上海电气,8.85
000533,顺钠股份,8.72
601019,山东出版,8.67
601298,青岛港,8.66
603601,再升科技,8.43
600336,澳柯玛,8.42
601111,中国国航,8.37
603421,鼎信通讯,8.34
002478,常宝股份,8.33
000543,皖能电力,8.29
000530,冰山冷热,8.19
000936,华西股份,8.19
002617,露笑科技,8.14
603333,尚纬股份,8.12
002452,长高电新,8.10
002851,麦格米特,79.37
001389,广合科技,77.24
603091,众鑫股份,76.80
600348,华阳股份,7.99
002121,科陆电子,7.90
601186,中国铁建,7.81
002366,融发核电,7.79
000598,兴蓉环境,7.22
600428,中远海特,7.12
601689,拓普集团,69.10
600486,扬农化工,66.68
603087,甘李药业,66.28
601318,中国平安,63.91
001359,平安电工,62.62
603306,华懋科技,61.43
002475,立讯精密,60.38
600363,联创光电,60.06
000803,山高环能,6.95
002627,三峡旅游,6.93
002546,新联电子,6.91
002361,神剑股份,6.78
600930,华电新能,6.78
600497,驰宏锌锗,6.68
600468,百利电气,6.67
000791,甘肃能源,6.67
002519,银河电子,6.61
600841,动力新科,6.38
600744,华银电力,6.28
000862,银星能源,6.20
000950,重药控股,6.17
600858,银座股份,6.14
601636,旗滨集团,6.10
000035,中国天楹,6.08
601107,四川成渝,6.06
600132,重庆啤酒,53.98
002625,光启技术,52.20
600736,苏州高新,5.95
002701,奥瑞金,5.93
600558,大西洋,5.88
000890,法尔胜,5.87
000875,吉电股份,5.67
002358,森源电气,5.61
601700,风范股份,5.60
601933,永辉超市,5.55
002471,中超控股,5.31
002692,远程股份,5.31
600027,华电国际,5.24
002131,利欧股份,5.21
000802,北京文化,5.20
600023,浙能电力,5.16
601218,吉鑫科技,5.10
600800,渤海化学,5.05
002230,科大讯飞,49.70
000733,振华科技,49.68
603267,鸿远电子,49.50
603699,纽威股份,49.19
000423,东阿阿胶,48.88
603650,彤程新材,46.65
603444,吉比特,458.00
001212,中旗新材,45.88
601628,中国人寿,45.30
001395,亚联机械,44.84
603031,安孚科技,44.19
603308,应流股份,44.16
001388,信通电子,44.06
001226,拓山重工,43.02
001317,三羊马,42.97
603173,福斯达,42.79
603530,神马电力,42.74
603014,威高血净,41.56
605060,联德股份,41.55
603920,世运电路,41.09
600298,安琪酵母,40.79
000651,格力电器,40.75
600895,张江高科,40.69
002865,钧达股份,40.33
