code,name,Strategy_Type,Close,TurnoverRate,RSI6,KDJ_J,Breakout_Pattern,Limit_Up_Today,Final_Score,Strategy_Rank
002268,电科网安,C_New_Strategy (最高共振),20.33,10.12,88.13202202994968,89.17168399293524,True,True,1427.0337007089452,0
002081,金 螳 螂,C_New_Strategy (最高共振),3.62,5.01,88.82656202045436,85.33333333333334,True,True,712.0337211559622,0
000411,英特集团,A_Strong_Pullback (中风险接力),12.86,10.83,64.14167011597127,61.56299840510364,False,False,10.23503498667293,1
002421,达实智能,B_Low_Position_Start (低风险埋伏),2.85,7.84,64.51789091411575,52.40890083632016,False,False,505.8202647666675,2
002594,比亚迪,B_Low_Position_Start (低风险埋伏),100.01,2.93,80.32247835206732,70.25057402415896,True,False,235.34486157155726,2
002228,合兴包装,E_Leader_Restart (二次启动),6.33,32.06,79.92179811571314,94.11128832181464,False,False,4355.897840902599,3
603163,圣晖集成,E_Leader_Restart (二次启动),83.0,9.68,77.50426896159637,81.79528924118083,False,False,1275.4102500320298,3
002427,尤夫股份,E_Leader_Restart (二次启动),6.76,6.0,72.71566375572483,91.1022927689595,False,False,741.6997703083932,3
603130,云中马,E_Leader_Restart (二次启动),51.63,6.13,66.68470359873992,84.23862664215375,False,False,694.9212962024686,3
601500,通用股份,D_Strong_Breakout (高风险追涨/优化),4.95,6.47,74.09629867370644,64.53208494564221,True,False,527.3433576607688,4
