code,name,Strategy_Type,Close,TurnoverRate,RSI6,KDJ_J,Breakout_Pattern,Limit_Up_Today,Final_Score,Strategy_Rank
002927,泰永长征,A_Strong_Pullback (中风险接力),20.15,17.19,62.28299346167691,71.28615128079147,False,False,19.36395346498411,1
002666,德联集团,A_Strong_Pullback (中风险接力),5.63,16.44,61.321706076894095,65.13098464317974,False,False,17.181066677037894,1
600877,电科芯片,A_Strong_Pullback (中风险接力),16.07,5.93,64.87992478532402,58.48161202228596,False,False,5.264061251166015,1
601133,柏诚股份,E_Leader_Restart (二次启动),17.48,39.72,77.25394761152361,87.4313029431695,False,False,5216.49555852052,3
002151,北斗星通,E_Leader_Restart (二次启动),37.35,18.02,77.02585644211841,81.40918488446368,False,False,2359.610086247855,3
